file,overall,pitch,rhythm,intS,intA,intT,intB,harmony,parallel,repeated
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_349.csv,88.9048,0.5309,0.9423,12.5375,13.6454,13.0171,11.3028,1.1871,6.2943,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_313.csv,88.9291,0.6193,0.9408,13.2967,13.1932,11.8448,12.8189,1.1283,5.6397,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_321.csv,88.9308,0.8363,0.9409,13.2084,14.0915,12.9543,10.4003,1.1711,5.8805,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_305.csv,88.9738,0.7021,0.9407,12.5077,13.4053,12.6477,11.3961,1.2157,6.7111,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_363.csv,89.1522,0.9088,0.9415,13.1219,14.1352,13.8465,11.8637,1.1564,3.7307,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_367.csv,89.2522,0.8078,0.9421,13.7079,13.1486,12.8176,10.7706,1.1824,6.4278,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_369.csv,89.5433,0.7926,0.9415,13.6524,13.9090,13.2324,11.4002,1.1302,5.0376,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_360.csv,89.6080,0.6574,0.9429,13.0221,13.7752,12.6302,11.7948,1.2300,6.1081,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_375.csv,89.8001,0.5678,0.9424,13.6273,13.2742,13.4451,11.8944,1.2038,5.3977,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_326.csv,89.8125,0.6664,0.9407,13.1489,13.0518,12.9100,12.0204,1.2264,6.4005,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_347.csv,90.1705,0.5506,0.9413,13.3858,11.4329,12.7383,13.3450,1.1939,7.1352,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_344.csv,90.2114,0.6394,0.9413,13.1902,12.4679,12.2266,11.3570,1.2066,8.7349,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_358.csv,90.6898,0.8699,0.9414,13.7542,12.6368,11.8227,10.9180,1.1623,9.1370,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_316.csv,90.7374,0.8025,0.9413,13.7776,13.0359,14.1079,11.9184,1.1527,5.5539,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_342.csv,91.1612,0.5646,0.9429,12.7502,13.2472,13.1220,12.2071,1.1939,7.6859,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_365.csv,91.6902,0.7295,0.9416,13.2213,12.3376,12.9509,12.1721,1.1982,8.6916,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_357.csv,91.8067,0.7063,0.9415,14.2536,12.6841,13.5217,11.0562,1.1556,8.0405,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_364.csv,91.8272,0.5764,0.9415,13.2682,13.1079,12.7670,11.6789,1.1521,8.8878,29.4474
/Users/korintajima/Documents/SATB-Harmonization/random_chorales/chorale_362.csv,91.8553,0.9449,0.9442,12.4986,13.9060,12.1408,12.2642,1.1923,8.5168,29.4474
